                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.4747,                 1.9705,                 1.6474,                0.60589,                0.49956,                0.56122,                0.27629,                0.71088,                0.88238,                0.80432,               0.005743,               0.005743,               0.005743
                     89,                 1.4693,                  1.942,                 1.6332,                0.60258,                0.49617,                0.56025,                0.27768,                 0.7109,                0.87886,                 0.8039,              0.0056935,              0.0056935,              0.0056935
                     90,                  1.471,                 1.9445,                 1.6429,                0.59837,                0.50109,                0.56149,                0.27816,                0.71055,                0.87764,                0.80376,               0.005644,               0.005644,               0.005644
                     91,                 1.4718,                 1.9247,                 1.6407,                0.59694,                0.50492,                0.56165,                0.27868,                0.71018,                 0.8763,                0.80347,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.4625,                 1.9089,                 1.6356,                0.59579,                0.50396,                0.56303,                0.27983,                0.71023,                0.87374,                0.80354,               0.005545,               0.005545,               0.005545
                     93,                 1.4814,                 1.9377,                  1.647,                0.59323,                0.50341,                0.56279,                0.28024,                 0.7103,                0.87114,                0.80355,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.4507,                 1.8951,                 1.6139,                0.58917,                0.50209,                0.56142,                0.28023,                0.71057,                0.86937,                0.80359,               0.005446,               0.005446,               0.005446
                     95,                  1.454,                 1.9076,                 1.6193,                0.59584,                0.49836,                0.56335,                0.28085,                0.71058,                0.86644,                0.80355,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.4538,                 1.9049,                 1.6319,                0.59282,                0.50055,                0.56404,                0.28123,                0.71067,                0.86255,                0.80352,               0.005347,               0.005347,               0.005347
                     97,                 1.4434,                 1.9075,                  1.614,                0.59526,                    0.5,                0.56514,                 0.2819,                0.71056,                0.86032,                0.80333,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.4517,                 1.8709,                 1.6186,                0.59399,                0.50341,                0.56631,                0.28188,                0.71048,                0.85875,                0.80317,               0.005248,               0.005248,               0.005248
                     99,                 1.4477,                 1.8859,                 1.6168,                0.58907,                0.51094,                0.56703,                0.28232,                0.71066,                0.85573,                0.80331,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.4679,                 1.8903,                 1.6349,                0.58691,                0.51149,                0.56764,                0.28296,                0.71037,                0.85359,                0.80304,               0.005149,               0.005149,               0.005149
                    101,                 1.4538,                 1.8751,                 1.6222,                 0.5886,                 0.5093,                0.56742,                0.28311,                 0.7107,                0.85076,                0.80344,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.4496,                 1.8794,                 1.6118,                0.59394,                0.50875,                0.56845,                0.28349,                0.71011,                0.85027,                0.80297,                0.00505,                0.00505,                0.00505
                    103,                 1.4498,                 1.8755,                 1.6254,                0.58641,                0.51313,                0.56872,                 0.2836,                0.70976,                0.84872,                0.80282,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.4504,                 1.8814,                 1.6189,                0.58311,                0.51641,                0.56969,                 0.2845,                0.70943,                0.84647,                0.80259,               0.004951,               0.004951,               0.004951
                    105,                 1.4469,                 1.9008,                   1.63,                0.58658,                0.51149,                0.57018,                 0.2844,                0.70904,                0.84455,                0.80254,              0.0049015,              0.0049015,              0.0049015
                    106,                 1.4338,                 1.8645,                 1.6117,                0.58545,                0.50766,                 0.5701,                 0.2853,                0.70887,                0.84271,                0.80243,               0.004852,               0.004852,               0.004852
                    107,                 1.4401,                 1.8662,                 1.6135,                 0.5859,                 0.5093,                0.57146,                0.28623,                0.70905,                 0.8409,                0.80256,              0.0048025,              0.0048025,              0.0048025
                    108,                 1.4504,                 1.8579,                 1.6185,                 0.5879,                0.51118,                0.57302,                0.28692,                0.70875,                0.83965,                0.80225,               0.004753,               0.004753,               0.004753
                    109,                  1.445,                 1.8706,                 1.6113,                0.59435,                0.50985,                0.57309,                0.28731,                0.70833,                0.83819,                0.80174,              0.0047035,              0.0047035,              0.0047035
                    110,                 1.4425,                 1.8638,                 1.6157,                 0.6014,                0.50985,                 0.5736,                0.28818,                0.70799,                0.83597,                0.80147,               0.004654,               0.004654,               0.004654
                    111,                 1.4282,                 1.8547,                 1.6012,                0.61618,                0.50547,                0.57647,                0.28883,                 0.7078,                 0.8334,                0.80129,              0.0046045,              0.0046045,              0.0046045
                    112,                 1.4297,                 1.8413,                 1.5963,                 0.6183,                0.50438,                0.57751,                0.28991,                0.70748,                0.83173,                 0.8012,               0.004555,               0.004555,               0.004555
                    113,                 1.4337,                 1.8235,                 1.5976,                0.62762,                0.50434,                0.57934,                0.29068,                0.70729,                0.83074,                0.80104,              0.0045055,              0.0045055,              0.0045055
                    114,                  1.418,                  1.829,                 1.5943,                0.62471,                0.50656,                0.58019,                0.29114,                0.70721,                0.82885,                0.80084,               0.004456,               0.004456,               0.004456
                    115,                 1.4242,                 1.8454,                 1.5917,                  0.629,                0.50269,                0.58122,                 0.2916,                0.70692,                0.82787,                0.80044,              0.0044065,              0.0044065,              0.0044065
                    116,                 1.4276,                 1.8319,                 1.5975,                0.63651,                  0.501,                0.58261,                0.29204,                0.70687,                0.82625,                0.80004,               0.004357,               0.004357,               0.004357
                    117,                 1.4077,                   1.81,                 1.5811,                0.63382,                0.50468,                0.58422,                0.29341,                0.70667,                0.82509,                 0.8001,              0.0043075,              0.0043075,              0.0043075
                    118,                 1.4121,                 1.8154,                 1.5877,                0.64481,                0.50219,                0.58453,                0.29395,                0.70661,                0.82364,                0.79997,               0.004258,               0.004258,               0.004258
                    119,                 1.4106,                  1.799,                  1.574,                0.64446,                0.50175,                0.58443,                0.29403,                0.70631,                0.82249,                0.79966,              0.0042085,              0.0042085,              0.0042085
                    120,                 1.4232,                 1.8085,                 1.5951,                0.65235,                0.50055,                0.58668,                0.29524,                0.70632,                0.82135,                0.79965,               0.004159,               0.004159,               0.004159
                    121,                 1.4207,                 1.8245,                 1.5928,                0.65038,                0.49891,                0.58655,                0.29576,                 0.7062,                0.81982,                0.79961,              0.0041095,              0.0041095,              0.0041095
                    122,                 1.4229,                 1.8252,                 1.5957,                0.65359,                0.49945,                0.58719,                0.29606,                0.70571,                0.81829,                0.79901,                0.00406,                0.00406,                0.00406
                    123,                 1.4148,                 1.7912,                 1.5841,                0.65082,                0.50472,                0.58836,                0.29624,                0.70523,                0.81654,                0.79869,              0.0040105,              0.0040105,              0.0040105
                    124,                 1.4171,                 1.7933,                 1.5921,                 0.6498,                0.50821,                0.58845,                0.29665,                0.70516,                0.81435,                0.79859,               0.003961,               0.003961,               0.003961
                    125,                 1.4132,                 1.7884,                 1.5821,                0.64919,                 0.5093,                0.58894,                0.29693,                0.70526,                0.81235,                0.79868,              0.0039115,              0.0039115,              0.0039115
                    126,                 1.4062,                 1.7817,                 1.5759,                0.64751,                0.51094,                0.58932,                0.29745,                 0.7053,                0.81097,                0.79893,               0.003862,               0.003862,               0.003862
                    127,                 1.4165,                 1.7968,                 1.5826,                0.64544,                0.51368,                0.59066,                0.29849,                0.70539,                0.80961,                0.79906,              0.0038125,              0.0038125,              0.0038125
                    128,                 1.3979,                 1.7564,                 1.5738,                0.64705,                0.51805,                0.59097,                0.29861,                0.70569,                0.80779,                0.79931,               0.003763,               0.003763,               0.003763
                    129,                 1.4186,                 1.7863,                 1.5978,                0.65036,                0.51915,                0.59179,                0.29813,                0.70575,                0.80645,                 0.7994,              0.0037135,              0.0037135,              0.0037135
                    130,                 1.3975,                 1.7758,                 1.5829,                0.65772,                0.51404,                 0.5935,                0.29981,                0.70582,                 0.8049,                0.79939,               0.003664,               0.003664,               0.003664
                    131,                 1.4165,                 1.8072,                 1.5915,                0.66284,                0.51586,                0.59557,                0.30044,                0.70586,                0.80451,                0.79928,              0.0036145,              0.0036145,              0.0036145
                    132,                 1.3758,                 1.7384,                 1.5525,                0.66573,                0.51532,                0.59579,                0.30113,                0.70587,                0.80299,                0.79921,               0.003565,               0.003565,               0.003565
                    133,                 1.4025,                 1.7548,                  1.569,                0.67058,                0.51477,                0.59571,                0.30212,                0.70575,                0.80195,                0.79891,              0.0035155,              0.0035155,              0.0035155
                    134,                 1.3961,                   1.73,                 1.5716,                0.66176,                0.51586,                0.59662,                0.30284,                0.70601,                0.79975,                0.79899,               0.003466,               0.003466,               0.003466
                    135,                  1.382,                 1.7319,                 1.5577,                0.65919,                0.52024,                0.59837,                0.30322,                0.70626,                0.79848,                0.79913,              0.0034165,              0.0034165,              0.0034165
                    136,                 1.3853,                 1.7404,                 1.5532,                0.66426,                0.51586,                0.59945,                0.30379,                0.70633,                0.79732,                0.79916,               0.003367,               0.003367,               0.003367
                    137,                 1.3907,                 1.7341,                 1.5689,                0.65841,                0.52193,                0.59931,                0.30342,                0.70596,                0.79615,                0.79903,              0.0033175,              0.0033175,              0.0033175
                    138,                 1.3898,                 1.7272,                 1.5615,                0.66124,                0.52323,                0.60069,                0.30331,                0.70634,                 0.7946,                0.79926,               0.003268,               0.003268,               0.003268
                    139,                 1.3842,                 1.7451,                 1.5619,                 0.6585,                0.52636,                0.60067,                 0.3037,                0.70585,                0.79357,                0.79893,              0.0032185,              0.0032185,              0.0032185
                    140,                 1.3774,                 1.7257,                 1.5596,                0.65125,                0.52845,                0.60025,                0.30345,                 0.7057,                0.79246,                0.79878,               0.003169,               0.003169,               0.003169
                    141,                 1.3838,                 1.7269,                 1.5637,                0.65071,                0.52681,                0.59983,                 0.3036,                0.70574,                0.79136,                0.79857,              0.0031195,              0.0031195,              0.0031195
                    142,                 1.3943,                 1.7364,                 1.5679,                0.64957,                0.53063,                0.60094,                0.30389,                0.70551,                0.79022,                0.79847,                0.00307,                0.00307,                0.00307
                    143,                 1.3674,                 1.6877,                 1.5363,                0.65513,                0.52954,                0.60124,                0.30437,                0.70531,                0.78941,                0.79838,              0.0030205,              0.0030205,              0.0030205
                    144,                 1.3767,                 1.7014,                 1.5536,                 0.6588,                0.52899,                0.60187,                0.30504,                0.70501,                0.78808,                0.79804,               0.002971,               0.002971,               0.002971
                    145,                 1.3705,                 1.6942,                 1.5513,                0.66291,                0.52571,                  0.602,                0.30533,                0.70459,                0.78726,                0.79799,              0.0029215,              0.0029215,              0.0029215
                    146,                 1.3787,                 1.6861,                  1.562,                0.66359,                0.52516,                0.60256,                0.30592,                0.70464,                0.78652,                0.79832,               0.002872,               0.002872,               0.002872
                    147,                 1.3519,                 1.6803,                 1.5352,                0.66567,                0.52608,                0.60348,                0.30698,                0.70412,                0.78547,                0.79802,              0.0028225,              0.0028225,              0.0028225
                    148,                 1.3578,                   1.67,                 1.5329,                0.66486,                0.52959,                 0.6039,                0.30724,                0.70433,                0.78393,                0.79802,               0.002773,               0.002773,               0.002773
                    149,                 1.3764,                 1.6891,                 1.5514,                0.66197,                0.53118,                0.60492,                0.30745,                0.70434,                0.78297,                0.79813,              0.0027235,              0.0027235,              0.0027235
                    150,                 1.3783,                 1.6666,                 1.5617,                0.66016,                0.53009,                 0.6046,                0.30737,                0.70445,                0.78198,                0.79831,               0.002674,               0.002674,               0.002674
                    151,                 1.3715,                 1.6742,                 1.5499,                 0.6605,                0.53446,                0.60519,                0.30812,                0.70433,                 0.7812,                0.79811,              0.0026245,              0.0026245,              0.0026245
                    152,                  1.365,                 1.6636,                 1.5431,                0.65786,                0.53665,                0.60488,                0.30808,                0.70425,                0.78025,                0.79789,               0.002575,               0.002575,               0.002575
                    153,                 1.3432,                 1.6272,                 1.5259,                0.65299,                0.53829,                0.60663,                  0.309,                0.70482,                0.77918,                0.79834,              0.0025255,              0.0025255,              0.0025255
                    154,                 1.3635,                 1.6547,                 1.5384,                0.64705,                0.53955,                0.60628,                0.30943,                0.70506,                 0.7781,                0.79887,               0.002476,               0.002476,               0.002476
